acct_key,account_no_raw,account_class_cd,account_class_nm,account_lob_cd,account_purpose_cd,managed_platform_cd,service_channel_cd,account_open_dt,is_managed,opened_in_scope,primary_eci_id
1597,0000001597,01,IRA,CWM,INV,MGP,FA,2025-02-01 00:00:00,true,false,ECI3157
1604,0000001604,01,IRA,CWM,RET,MGP,FA,2016-04-08 00:00:00,true,false,ECI3004
1611,0000001611,01,Joint,CWM,INV,MGP,FA,2015-03-23 00:00:00,true,false,ECI3011
1618,0000001618,07,Individual,CWM,RET,MGP,FA,2020-10-09 00:00:00,true,false,ECI3018
1625,0000001625,07,Individual,CWM,RET,MGP,FA,2024-06-19 00:00:00,true,false,ECI3025
1632,0000001632,02,Joint,CWM,INV,MGP,FA,2021-05-15 00:00:00,true,false,ECI3032
1639,0000001639,01,Joint,CWM,RET,MGP,FA,2016-10-21 00:00:00,true,false,ECI3039
1646,0000001646,01,Individual,CWM,INV,MGP,FA,2023-04-22 00:00:00,true,false,ECI3046
1653,0000001653,07,Joint,CWM,INV,MGP,FA,2024-12-11 00:00:00,true,false,ECI3053
1660,0000001660,02,Joint,CWM,INV,MGP,FA,2023-05-24 00:00:00,true,false,ECI3060
1667,0000001667,02,IRA,CWM,INV,,FA,2015-02-05 00:00:00,false,false,ECI3067
1674,0000001674,07,Individual,CWM,RET,MGP,FA,2023-05-18 00:00:00,true,false,ECI3074
1681,0000001681,07,Individual,CWM,INV,MGP,FA,2022-01-24 00:00:00,true,false,ECI3081
1688,0000001688,07,Individual,CWM,RET,,FA,2018-03-12 00:00:00,false,false,ECI3088
1695,0000001695,01,Individual,CWM,RET,MGP,FA,2019-04-02 00:00:00,true,false,ECI3095
1702,0000001702,02,IRA,CWM,RET,MGP,FA,2017-03-22 00:00:00,true,false,ECI3102
1709,0000001709,02,Joint,CWM,RET,MGP,FA,2018-12-10 00:00:00,true,false,ECI3109
1716,0000001716,01,IRA,CWM,INV,MGP,FA,2015-10-18 00:00:00,true,false,ECI3116
