advisor_sid,rep_code,advisor_name,branch_cd,employee_id,in_cohort,job_code,job_display_name,em_status_cd,is_departed,work_state,work_city,advisor_plan,is_synthetic
V000001,R700007,S. Alvarez,BR101,E50001,true,HK0186,WM Select Advisor Group,A,false,TX,Dallas,SELECT_ADVISOR,false
V000002,R700014,A. Mehta,BR102,E50002,true,HK0187,WM Select Advisor Group,A,false,CA,San Francisco,SELECT_ADVISOR,false
V000003,R700021,M. Okafor,BR103,E50003,true,HK0188,WM Select Advisor Group,A,false,IL,Chicago,SELECT_ADVISOR,false
V000004,R700028,L. Lindqvist,BR104,E50004,true,HK0300,HK0300,A,false,NY,New York,,false
V000005,R700035,J. Tanaka,BR100,E50005,true,HK0176,WM Select Advisor Group,A,false,TX,Dallas,SELECT_ADVISOR,false
V000006,R700042,T. Rossi,BR101,E50006,true,HK0186,WM Select Advisor Group,A,false,CA,San Francisco,SELECT_ADVISOR,false
V000007,R700049,P. Novak,BR102,E50007,true,HK0187,WM Select Advisor Group,A,false,IL,Chicago,SELECT_ADVISOR,false
V000008,R700056,N. Osei,BR103,E50008,true,,,A,false,NY,New York,,false
V000009,R700063,C. Fournier,BR104,E50009,true,HK0300,HK0300,A,false,TX,Dallas,,false
V000010,R700070,D. Petrov,BR100,E50010,true,HK0176,WM Select Advisor Group,A,false,CA,San Francisco,SELECT_ADVISOR,false
V000011,R700077,R. Nguyen,BR101,E50011,true,HK0186,WM Select Advisor Group,A,false,IL,Chicago,SELECT_ADVISOR,false
V000012,R700084,B. Silva,BR102,E50012,true,HK0187,WM Select Advisor Group,A,false,NY,New York,SELECT_ADVISOR,false
V000013,R700091,F. Hansen,BR103,E50013,true,HK0188,WM Select Advisor Group,A,false,TX,Dallas,SELECT_ADVISOR,false
V000014,R700098,E. Marino,BR104,E50014,true,HK0300,HK0300,A,false,CA,San Francisco,,false
V000015,R700105,,BR100,E50015,true,HK0176,WM Select Advisor Group,A,false,IL,Chicago,SELECT_ADVISOR,false
V000016,R700112,G. Weber,BR101,E50016,true,HK0186,WM Select Advisor Group,A,false,NY,New York,SELECT_ADVISOR,false
V000017,R700119,Y. Castillo,BR102,E50017,true,HK0187,WM Select Advisor Group,A,false,TX,Dallas,SELECT_ADVISOR,false
V000018,R700126,H. Byrne,BR103,E50018,true,HK0188,WM Select Advisor Group,A,false,CA,San Francisco,SELECT_ADVISOR,false
V000019,R700133,Z. Sato,BR104,E50019,true,HK0300,HK0300,A,false,IL,Chicago,,false
V000020,R700140,K. Kaur,BR100,E50020,true,HK0176,WM Select Advisor Group,A,false,NY,New York,SELECT_ADVISOR,false
X900001,R880001,T. Dumont,BR900,E90001,false,,,,false,,,,false
X900002,R880002,T. Ellis,BR900,E90002,false,,,,false,,,,false
